"Date","Time","SP Coccion Z1","Temp Coccion Z1","Temp Combustion Z1","SP Coccion Z2","Temp Coccion Z2","Temp Combustion Z2","Tiempo Coccion [centesimas de seg]","Quemador 1","Quemador 2","Quemador 3","Llama Z1","Llama Z2"
"2025/04/06","21:24:03","260","200","370","260","193","374","1412","1","1","1","100","100"
"2025/04/06","21:25:03","260","202","372","260","194","377","1412","1","1","1","100","100"
"2025/04/06","21:26:03","260","203","373","260","195","379","1412","1","1","1","100","100"
"2025/04/06","21:27:03","260","205","376","260","196","381","1412","1","1","1","100","100"
"2025/04/06","21:28:03","260","206","378","260","198","384","1412","1","1","1","100","100"
"2025/04/06","21:29:03","260","207","381","260","199","388","1412","1","1","1","100","100"
"2025/04/06","21:30:03","260","209","384","260","200","390","1412","1","1","1","100","100"
"2025/04/06","21:31:03","260","210","387","260","202","394","1412","1","1","1","100","100"
"2025/04/06","21:32:03","260","211","389","260","203","396","1412","1","1","1","100","100"
"2025/04/06","21:33:03","260","213","391","260","204","399","1412","1","1","1","100","100"
"2025/04/06","21:34:03","260","214","394","260","205","401","1412","1","1","1","100","100"
"2025/04/06","21:35:03","260","215","396","260","207","403","1412","1","1","1","100","100"
"2025/04/06","21:36:03","260","216","398","260","208","406","1412","1","1","1","100","100"
"2025/04/06","21:37:03","260","218","399","260","209","408","1412","1","1","1","100","100"
"2025/04/06","21:38:03","260","219","400","260","210","409","1412","1","1","1","100","100"
"2025/04/06","21:39:03","260","220","402","260","212","412","1412","1","1","1","100","100"
"2025/04/06","21:40:03","260","221","404","260","213","414","1412","1","1","1","100","100"
"2025/04/06","21:41:03","260","222","407","260","214","416","1412","1","1","1","100","100"
"2025/04/06","21:42:03","260","224","409","260","216","419","1412","1","1","1","100","100"
"2025/04/06","21:43:03","260","225","411","260","217","420","1412","1","1","1","100","100"
"2025/04/06","21:44:03","260","226","412","260","218","423","1412","1","1","1","100","100"
"2025/04/06","21:45:03","260","227","414","260","219","425","1412","1","1","1","100","100"
"2025/04/06","21:46:03","260","228","416","260","220","427","1412","1","1","1","100","100"
"2025/04/06","21:47:03","260","229","418","260","222","429","1412","1","1","1","100","100"
"2025/04/06","21:48:03","260","230","419","260","223","430","1412","1","1","1","100","100"
"2025/04/06","21:49:03","260","231","420","260","224","431","1412","1","1","1","100","100"
"2025/04/06","21:50:03","260","232","421","260","225","433","1412","1","1","1","99","100"
"2025/04/06","21:51:03","260","233","423","260","226","436","1412","1","1","1","94","100"
"2025/04/06","21:52:03","260","234","425","260","227","438","1412","1","1","1","88","100"
"2025/04/06","21:53:03","260","236","426","260","228","440","1412","1","1","1","84","100"
"2025/04/06","21:54:03","260","237","428","260","230","442","1412","1","1","1","78","100"
"2025/04/06","21:55:03","260","238","429","260","230","443","1412","1","1","1","75","100"
"2025/04/06","21:56:03","260","238","430","260","232","445","1412","1","1","1","71","100"
"2025/04/06","21:57:03","260","240","432","260","233","447","1412","1","1","1","67","98"
"2025/04/06","21:58:03","260","240","433","260","234","449","1412","1","1","1","63","97"
"2025/04/06","21:59:03","260","241","433","260","235","449","1412","1","1","1","62","98"
"2025/04/06","22:00:03","260","242","434","260","236","450","1412","1","1","1","62","98"
"2025/04/06","22:01:03","260","243","434","260","237","450","1412","1","1","1","62","96"
"2025/04/06","22:02:03","260","244","434","260","238","452","1412","1","1","1","59","90"
"2025/04/06","22:03:03","260","245","435","260","239","452","1412","1","1","1","56","84"
"2025/04/06","22:04:03","260","246","436","260","240","454","1412","1","1","1","52","74"
"2025/04/06","22:05:03","260","247","438","260","241","454","1412","1","1","1","49","66"
"2025/04/06","22:06:03","260","248","439","260","242","454","1412","1","1","1","45","61"
