"Date","Time","SP Coccion Z1","Temp Coccion Z1","Temp Combustion Z1","SP Coccion Z2","Temp Coccion Z2","Temp Combustion Z2","Tiempo Coccion [centesimas de seg]","Quemador 1","Quemador 2","Quemador 3","Llama Z1","Llama Z2"
"2025/04/01","00:00:48","262","262","400","263","256","420","2130","1","1","1","67","100"
"2025/04/01","00:01:48","262","262","402","263","256","420","2130","1","1","1","47","100"
"2025/04/01","00:02:48","262","262","403","263","256","419","2130","1","1","1","16","100"
"2025/04/01","00:03:48","262","262","403","263","256","419","2130","1","1","1","58","100"
"2025/04/01","00:04:48","262","262","404","263","256","419","2130","1","1","1","50","100"
"2025/04/01","00:05:48","262","262","405","263","255","419","2130","1","1","1","79","100"
"2025/04/01","00:06:48","262","262","406","263","255","419","2130","1","1","1","88","100"
"2025/04/01","00:07:48","262","262","407","263","255","419","2130","1","1","1","66","100"
"2025/04/01","00:08:48","262","262","408","263","255","419","2130","1","1","1","50","100"
"2025/04/01","00:09:48","262","262","409","263","255","419","2130","1","1","1","57","100"
"2025/04/01","00:10:48","262","262","409","263","255","419","2130","1","1","1","48","100"
"2025/04/01","00:11:48","262","262","409","263","255","420","2130","1","1","1","49","100"
"2025/04/01","00:12:48","262","262","409","263","255","420","2130","1","1","1","38","100"
"2025/04/01","00:13:48","262","262","409","263","255","420","2130","1","1","1","56","100"
"2025/04/01","00:14:48","262","262","407","263","254","420","2130","1","1","1","75","100"
"2025/04/01","00:15:48","262","262","406","263","254","420","2130","1","1","1","23","100"
"2025/04/01","00:16:48","262","262","406","263","254","420","2130","1","1","1","15","100"
"2025/04/01","00:17:48","262","262","404","263","254","420","2130","1","1","1","15","100"
"2025/04/01","00:18:48","262","262","402","263","254","420","2130","1","1","1","43","100"
"2025/04/01","00:19:48","262","262","403","263","254","420","2130","1","1","1","16","100"
"2025/04/01","00:20:48","262","262","402","263","254","420","2130","1","1","1","53","100"
"2025/04/01","00:21:48","262","262","403","263","254","420","2130","1","1","1","91","100"
"2025/04/01","00:22:48","262","262","402","263","254","420","2130","1","1","1","57","100"
"2025/04/01","00:23:48","262","262","402","263","254","421","2130","1","1","1","29","100"
"2025/04/01","00:24:48","262","262","401","263","254","422","2130","1","1","1","14","100"
"2025/04/01","00:25:48","262","262","402","263","254","422","2130","1","1","1","27","100"
"2025/04/01","00:26:48","262","262","401","263","254","421","2130","1","1","1","21","100"
"2025/04/01","00:27:48","262","262","402","263","254","421","2130","1","1","1","65","100"
"2025/04/01","00:28:48","262","262","403","263","254","421","2130","1","1","1","58","100"
"2025/04/01","00:29:48","262","262","404","263","254","421","2130","1","1","1","65","100"
"2025/04/01","00:30:48","262","262","406","263","254","421","2130","1","1","1","14","100"
"2025/04/01","00:31:48","262","262","406","263","254","421","2130","1","1","1","37","100"
"2025/04/01","00:32:48","262","262","407","263","253","420","2119","1","1","1","72","100"
"2025/04/01","00:33:48","261","262","404","261","253","417","2100","1","1","1","1","35"
"2025/04/01","00:34:48","261","262","392","261","253","412","2100","1","1","1","1","73"
"2025/04/01","00:35:48","261","262","382","261","253","414","2100","1","1","1","15","79"
"2025/04/01","00:36:48","261","262","378","261","253","416","2100","1","1","1","14","83"
"2025/04/01","00:37:48","261","262","378","261","253","417","2100","1","1","1","49","86"
"2025/04/01","00:38:48","261","262","380","261","253","418","2100","1","1","1","71","88"
"2025/04/01","00:39:48","261","261","383","261","253","418","2100","1","1","1","76","92"
"2025/04/01","00:40:48","261","261","387","261","253","418","2100","1","1","1","96","94"
"2025/04/01","00:41:48","261","261","390","261","253","420","2100","1","1","1","67","92"
"2025/04/01","00:42:48","261","261","394","261","253","420","2100","1","1","1","100","91"
"2025/04/01","00:43:48","261","261","397","261","253","420","2100","1","1","1","97","91"
"2025/04/01","00:44:48","261","261","400","261","253","421","2100","1","1","1","94","89"
"2025/04/01","00:45:48","261","261","402","261","253","421","2100","1","1","1","54","86"
"2025/04/01","00:46:48","261","261","404","261","253","421","2100","1","1","1","46","84"
"2025/04/01","00:47:48","261","261","404","261","253","420","2100","1","1","1","65","86"
"2025/04/01","00:48:48","261","261","405","261","253","420","2100","1","1","1","90","86"
"2025/04/01","00:49:48","261","261","406","261","253","420","2100","1","1","1","73","85"
"2025/04/01","00:50:48","261","261","407","261","253","420","2100","1","1","1","67","85"
"2025/04/01","00:51:48","261","261","407","261","253","420","2100","1","1","1","50","84"
"2025/04/01","00:52:48","261","261","407","261","253","421","2100","1","1","1","14","82"
